age,placement_status,gpa,boolean_Computer Science,boolean_Information Technology,boolean_Electrical Engineering,boolean_Mechanical Engineering,boolean_Electronics and Communication
23,1,3.7,0,1,0,0,0
25,0,3.6,1,0,0,0,0
24,1,3.7,0,1,0,0,0
26,1,3.8,1,0,0,0,0
23,1,3.7,0,0,1,0,0
25,1,3.5,0,0,0,1,0
24,0,3.9,1,0,0,0,0
26,1,3.7,0,0,0,0,1
23,1,3.8,0,1,0,0,0
25,1,3.6,1,0,0,0,0
26,1,3.9,0,0,1,0,0
24,0,3.4,0,0,0,1,0
23,1,3.7,1,0,0,0,0
25,1,3.8,0,0,0,0,1
26,1,3.9,0,1,0,0,0
24,1,3.9,1,0,0,0,0
23,0,3.7,0,0,1,0,0
25,1,3.8,0,0,0,1,0
26,1,3.9,1,0,0,0,0
24,1,3.8,0,0,0,0,1
23,1,3.7,0,1,0,0,0
25,0,3.6,1,0,0,0,0
24,1,3.7,0,1,0,0,0
26,1,3.8,1,0,0,0,0
23,1,3.7,0,0,1,0,0
25,1,3.5,0,0,0,1,0
24,0,3.9,1,0,0,0,0
26,1,3.7,0,0,0,0,1
23,1,3.8,0,1,0,0,0
25,1,3.6,1,0,0,0,0
26,1,3.9,0,0,1,0,0
24,0,3.4,0,0,0,1,0
23,1,3.7,1,0,0,0,0
25,1,3.8,0,0,0,0,1
26,1,3.9,0,1,0,0,0
24,1,3.9,1,0,0,0,0
23,0,3.7,0,0,1,0,0
25,1,3.8,0,0,0,1,0
26,1,3.9,1,0,0,0,0
24,1,3.8,0,0,0,0,1
23,1,3.7,0,1,0,0,0
25,0,3.6,1,0,0,0,0
24,1,3.7,0,1,0,0,0
26,1,3.8,1,0,0,0,0
23,1,3.7,0,0,1,0,0
25,1,3.5,0,0,0,1,0
24,0,3.9,1,0,0,0,0
26,1,3.7,0,0,0,0,1
23,1,3.8,0,1,0,0,0
25,1,3.6,1,0,0,0,0
26,1,3.9,0,0,1,0,0
24,0,3.4,0,0,0,1,0
23,1,3.7,1,0,0,0,0
25,1,3.8,0,0,0,0,1
26,1,3.9,0,1,0,0,0
24,1,3.9,1,0,0,0,0
23,0,3.7,0,0,1,0,0
25,1,3.8,0,0,0,1,0
26,1,3.9,1,0,0,0,0
24,1,3.8,0,0,0,0,1
23,1,3.7,0,1,0,0,0
25,0,3.6,1,0,0,0,0
24,1,3.7,0,1,0,0,0
26,1,3.8,1,0,0,0,0
23,1,3.7,0,0,1,0,0
25,1,3.5,0,0,0,1,0
24,0,3.9,1,0,0,0,0
26,1,3.7,0,0,0,0,1
23,1,3.8,0,1,0,0,0
25,1,3.6,1,0,0,0,0
26,1,3.9,0,0,1,0,0
24,0,3.4,0,0,0,1,0
23,1,3.7,1,0,0,0,0
25,1,3.8,0,0,0,0,1
26,1,3.9,0,1,0,0,0
24,1,3.9,1,0,0,0,0
23,0,3.7,0,0,1,0,0
25,1,3.8,0,0,0,1,0
26,1,3.9,1,0,0,0,0
24,1,3.8,0,0,0,0,1
23,1,3.7,0,1,0,0,0
25,0,3.6,1,0,0,0,0
24,1,3.7,0,1,0,0,0
26,1,3.8,1,0,0,0,0
23,1,3.7,0,0,1,0,0
25,1,3.5,0,0,0,1,0
24,0,3.9,1,0,0,0,0
26,1,3.7,0,0,0,0,1
23,1,3.8,0,1,0,0,0
25,1,3.6,1,0,0,0,0
26,1,3.9,0,0,1,0,0
24,0,3.4,0,0,0,1,0
23,1,3.7,1,0,0,0,0
25,1,3.8,0,0,0,0,1
26,1,3.9,0,1,0,0,0
24,1,3.9,1,0,0,0,0
23,0,3.7,0,0,1,0,0
25,1,3.8,0,0,0,1,0
26,1,3.9,1,0,0,0,0
24,1,3.8,0,0,0,0,1
23,1,3.7,0,1,0,0,0
25,0,3.6,1,0,0,0,0
24,1,3.7,0,1,0,0,0
26,1,3.8,1,0,0,0,0
23,1,3.7,0,0,1,0,0
25,1,3.5,0,0,0,1,0
24,0,3.9,1,0,0,0,0
26,1,3.7,0,0,0,0,1
23,1,3.8,0,1,0,0,0
25,1,3.6,1,0,0,0,0
26,1,3.9,0,0,1,0,0
24,0,3.4,0,0,0,1,0
23,1,3.7,1,0,0,0,0
25,1,3.8,0,0,0,0,1
26,1,3.9,0,1,0,0,0
24,1,3.9,1,0,0,0,0
23,0,3.7,0,0,1,0,0
25,1,3.8,0,0,0,1,0
26,1,3.9,1,0,0,0,0
24,1,3.8,0,0,0,0,1
23,1,3.7,0,1,0,0,0
25,0,3.6,1,0,0,0,0
24,1,3.7,0,1,0,0,0
26,1,3.8,1,0,0,0,0
23,1,3.7,0,0,1,0,0
25,1,3.5,0,0,0,1,0
24,0,3.9,1,0,0,0,0
26,1,3.7,0,0,0,0,1
23,1,3.8,0,1,0,0,0
25,1,3.6,1,0,0,0,0
26,1,3.9,0,0,1,0,0
24,0,3.4,0,0,0,1,0
23,1,3.7,1,0,0,0,0
25,1,3.8,0,0,0,0,1
23,1,3.7,0,1,0,0,0
24,1,3.8,1,0,0,0,0
25,1,3.9,0,0,1,0,0
26,1,3.9,0,0,0,1,0
24,1,3.9,0,0,0,0,1
23,0,3.7,1,0,0,0,0
25,1,3.8,0,1,0,0,0
26,1,3.9,0,0,1,0,0
24,1,3.8,0,0,0,1,0
23,1,3.7,0,0,0,0,1
25,0,3.6,1,0,0,0,0
24,1,3.7,0,1,0,0,0
23,1,3.8,1,0,0,0,0
24,1,3.9,0,0,1,0,0
25,1,3.9,0,0,0,1,0
26,1,3.9,0,0,0,0,1
24,0,3.7,1,0,0,0,0
23,1,3.8,0,1,0,0,0
25,1,3.9,0,0,1,0,0
26,1,3.8,0,0,0,1,0
24,1,3.7,0,0,0,0,1
23,0,3.6,1,0,0,0,0
25,1,3.7,0,1,0,0,0
24,1,3.8,0,0,1,0,0
23,1,3.9,0,0,0,1,0
24,1,3.9,0,0,0,0,1
25,1,3.9,1,0,0,0,0
26,0,3.7,0,1,0,0,0
24,1,3.8,0,0,1,0,0
23,1,3.9,0,0,0,1,0
25,1,3.8,0,0,0,0,1
26,1,3.7,1,0,0,0,0
24,0,3.6,0,1,0,0,0
23,1,3.7,0,0,1,0,0
25,1,3.8,0,0,0,1,0
24,1,3.9,0,0,0,0,1
23,1,3.9,1,0,0,0,0
24,1,3.9,0,1,0,0,0
25,0,3.7,0,0,1,0,0
26,1,3.8,0,0,0,1,0
24,1,3.9,0,0,0,0,1
23,1,3.8,1,0,0,0,0
25,1,3.7,0,1,0,0,0
26,0,3.6,0,0,1,0,0
24,1,3.7,0,0,0,1,0
23,1,3.8,0,0,0,0,1
25,1,3.9,1,0,0,0,0
24,1,3.9,0,1,0,0,0
23,1,3.9,0,0,1,0,0
24,0,3.7,0,0,0,1,0
25,1,3.8,0,0,0,0,1
26,1,3.9,1,0,0,0,0
24,1,3.8,0,1,0,0,0
23,1,3.7,0,0,1,0,0
25,0,3.6,0,0,0,1,0
26,1,3.7,0,0,0,0,1
24,1,3.8,1,0,0,0,0
23,1,3.9,0,1,0,0,0
25,1,3.9,0,0,1,0,0
24,1,3.9,0,0,0,1,0
23,0,3.7,0,0,0,0,1
24,1,3.8,1,0,0,0,0
25,1,3.9,0,1,0,0,0
26,1,3.8,0,0,1,0,0
24,1,3.7,0,0,0,1,0
23,0,3.6,0,0,0,0,1
25,1,3.7,1,0,0,0,0
26,1,3.8,0,1,0,0,0
24,1,3.9,0,0,1,0,0
23,1,3.9,0,0,0,1,0
25,1,3.9,0,0,0,0,1
24,0,3.7,1,0,0,0,0
23,1,3.8,0,1,0,0,0
24,1,3.9,0,0,1,0,0
25,1,3.8,0,0,0,1,0
26,1,3.7,0,0,0,0,1
24,0,3.6,1,0,0,0,0
23,1,3.7,0,1,0,0,0
25,1,3.8,0,0,1,0,0
26,1,3.9,0,0,0,1,0
24,1,3.9,0,0,0,0,1
23,1,3.9,1,0,0,0,0
25,0,3.7,0,1,0,0,0
24,1,3.8,0,0,1,0,0
23,1,3.9,0,0,0,1,0
24,1,3.8,0,0,0,0,1
25,1,3.7,1,0,0,0,0
24,1,3.6,1,0,0,0,0
25,1,3.7,0,0,1,0,0
23,1,3.8,0,1,0,0,0
26,1,3.9,0,0,0,1,0
24,0,3.7,1,0,0,0,0
25,1,3.8,0,0,0,0,1
23,1,3.9,0,1,0,0,0
26,1,3.8,0,0,0,1,0
24,1,3.7,1,0,0,0,0
25,0,3.6,0,0,1,0,0
23,1,3.7,0,1,0,0,0
26,1,3.8,0,0,0,1,0
24,1,3.7,1,0,0,0,0
23,1,3.5,0,0,0,0,1
26,0,3.9,0,1,0,0,0
24,1,3.7,0,0,0,1,0
23,1,3.8,1,0,0,0,0
26,1,3.6,0,0,1,0,0
24,1,3.9,0,1,0,0,0
25,1,3.9,1,0,0,0,0
23,1,3.9,0,0,0,0,1
26,0,3.7,0,1,0,0,0
24,1,3.8,0,0,0,1,0
23,1,3.9,1,0,0,0,0
26,1,3.8,0,0,0,0,1
24,1,3.7,1,0,0,0,0
23,0,3.6,0,0,1,0,0
26,1,3.7,0,1,0,0,0
24,1,3.8,0,0,0,1,0
23,1,3.7,1,0,0,0,0
26,1,3.5,0,0,1,0,0
24,0,3.9,0,1,0,0,0
25,1,3.7,1,0,0,0,0
23,1,3.8,0,0,0,0,1
26,1,3.6,0,1,0,0,0
24,1,3.9,0,0,0,1,0
23,1,3.9,1,0,0,0,0
26,1,3.9,0,0,0,0,1
24,0,3.7,1,0,0,0,0
23,1,3.8,0,0,1,0,0
26,1,3.9,0,1,0,0,0
24,1,3.8,0,0,0,1,0
23,1,3.7,1,0,0,0,0
26,0,3.6,0,0,1,0,0
24,1,3.7,0,1,0,0,0
25,1,3.8,1,0,0,0,0
23,1,3.7,0,0,0,0,1
26,1,3.5,0,1,0,0,0
24,0,3.9,0,0,0,1,0
23,1,3.7,1,0,0,0,0
26,1,3.8,0,0,0,0,1
24,1,3.6,1,0,0,0,0
23,1,3.9,0,0,1,0,0
26,1,3.9,0,1,0,0,0
24,0,3.7,0,0,0,1,0
23,1,3.8,1,0,0,0,0
26,1,3.9,0,0,1,0,0
24,1,3.9,0,1,0,0,0
25,1,3.8,1,0,0,0,0
23,1,3.7,0,0,0,0,1
26,0,3.6,0,1,0,0,0
24,1,3.7,0,0,0,1,0
23,1,3.8,1,0,0,0,0
26,1,3.7,0,0,0,0,1
24,1,3.5,1,0,0,0,0
23,0,3.9,0,0,1,0,0
26,1,3.7,0,1,0,0,0
24,1,3.8,0,0,0,1,0
23,1,3.6,1,0,0,0,0
26,1,3.9,0,0,1,0,0
24,1,3.9,0,1,0,0,0
25,0,3.7,1,0,0,0,0
23,1,3.8,0,0,0,0,1
26,1,3.9,0,1,0,0,0
24,1,3.8,0,0,0,1,0
23,1,3.7,1,0,0,0,0
26,0,3.6,0,0,0,0,1
24,1,3.7,1,0,0,0,0
23,1,3.8,0,0,1,0,0
26,1,3.7,0,1,0,0,0
24,1,3.5,0,0,0,1,0
23,0,3.9,1,0,0,0,0
26,1,3.7,0,0,1,0,0
24,1,3.8,0,1,0,0,0
25,1,3.6,1,0,0,0,0
23,1,3.9,0,0,0,0,1
26,1,3.9,0,1,0,0,0
24,0,3.7,0,0,0,1,0
23,1,3.8,1,0,0,0,0
26,1,3.9,0,0,0,0,1
24,1,3.8,1,0,0,0,0
23,1,3.7,0,0,1,0,0
26,0,3.6,0,1,0,0,0
24,1,3.7,0,0,0,1,0
23,1,3.8,1,0,0,0,0
26,1,3.7,0,0,1,0,0
24,1,3.5,0,1,0,0,0
25,0,3.9,1,0,0,0,0
23,1,3.7,0,0,0,0,1
26,1,3.8,0,1,0,0,0
24,1,3.6,0,0,0,1,0
23,1,3.9,1,0,0,0,0
26,1,3.9,0,0,0,0,1
24,1,3.8,1,0,0,0,0
23,1,3.7,0,0,1,0,0
26,1,3.8,0,1,0,0,0
24,1,3.7,0,0,0,1,0
23,0,3.6,1,0,0,0,0
26,1,3.7,0,0,1,0,0
24,1,3.8,0,1,0,0,0
25,1,3.7,1,0,0,0,0
23,1,3.5,0,0,0,0,1
26,0,3.9,0,1,0,0,0
24,1,3.7,0,0,0,1,0
23,1,3.8,1,0,0,0,0
26,1,3.6,0,0,0,0,1
24,1,3.9,1,0,0,0,0
23,1,3.9,0,0,1,0,0
26,0,3.7,0,1,0,0,0
24,1,3.8,0,0,0,1,0
23,1,3.9,1,0,0,0,0
26,1,3.8,0,0,1,0,0
24,1,3.7,0,1,0,0,0
25,0,3.6,1,0,0,0,0
23,1,3.7,0,0,0,0,1
26,1,3.8,0,1,0,0,0
24,1,3.7,0,0,0,1,0
23,1,3.5,1,0,0,0,0
26,0,3.9,0,0,1,0,0
24,1,3.7,1,0,0,0,0
23,1,3.8,0,0,0,0,1
26,1,3.6,0,1,0,0,0
24,1,3.9,0,0,0,1,0
23,1,3.9,1,0,0,0,0
26,0,3.7,0,0,1,0,0
24,1,3.8,0,1,0,0,0
25,1,3.9,1,0,0,0,0
23,1,3.8,0,0,0,0,1
26,1,3.7,0,1,0,0,0
24,0,3.6,0,0,0,1,0
23,1,3.7,1,0,0,0,0
26,1,3.8,0,0,0,0,1
24,1,3.7,1,0,0,0,0
23,1,3.5,0,0,1,0,0
26,0,3.9,0,1,0,0,0
24,1,3.7,0,0,0,1,0
23,1,3.8,1,0,0,0,0
26,1,3.6,0,0,1,0,0
24,1,3.9,0,1,0,0,0
25,1,3.9,1,0,0,0,0
23,0,3.7,0,0,0,0,1
26,1,3.8,0,1,0,0,0
24,1,3.9,0,0,0,1,0
23,1,3.8,1,0,0,0,0
26,1,3.7,0,0,0,0,1
24,0,3.6,1,0,0,0,0
23,1,3.7,0,0,1,0,0
26,1,3.8,0,1,0,0,0
24,1,3.7,0,0,0,1,0
23,1,3.5,1,0,0,0,0
26,0,3.9,0,0,1,0,0
24,1,3.7,0,1,0,0,0
25,1,3.8,1,0,0,0,0
23,1,3.6,0,0,0,0,1
26,1,3.9,0,1,0,0,0
24,1,3.9,0,0,0,1,0
23,0,3.7,1,0,0,0,0
26,1,3.8,0,0,0,0,1
24,1,3.9,1,0,0,0,0
23,1,3.8,0,0,1,0,0
26,1,3.7,0,1,0,0,0
24,0,3.6,0,0,0,1,0
23,1,3.7,1,0,0,0,0
26,1,3.8,0,0,1,0,0
24,1,3.7,0,1,0,0,0
25,1,3.5,1,0,0,0,0
23,0,3.9,0,0,0,0,1
26,1,3.7,0,1,0,0,0
24,1,3.8,0,0,0,1,0
23,1,3.6,1,0,0,0,0
26,1,3.9,0,0,0,0,1
24,1,3.9,1,0,0,0,0
23,0,3.7,0,0,1,0,0
26,1,3.8,0,1,0,0,0
24,1,3.9,0,0,0,1,0
23,1,3.8,1,0,0,0,0
26,1,3.7,0,0,1,0,0
24,0,3.6,0,1,0,0,0
25,1,3.7,1,0,0,0,0
23,1,3.8,0,0,0,0,1
26,1,3.7,0,1,0,0,0
24,1,3.5,0,0,0,1,0
23,0,3.9,1,0,0,0,0
26,1,3.7,0,0,0,0,1
24,1,3.8,1,0,0,0,0
23,1,3.6,0,0,1,0,0
26,1,3.9,0,1,0,0,0
24,1,3.9,0,0,0,1,0
23,0,3.7,1,0,0,0,0
26,1,3.8,0,0,1,0,0
24,1,3.9,0,1,0,0,0
25,1,3.8,1,0,0,0,0
23,1,3.7,0,0,0,0,1
26,0,3.6,0,1,0,0,0
24,1,3.7,0,0,0,1,0
23,1,3.8,1,0,0,0,0
26,1,3.7,0,0,0,0,1
24,1,3.5,1,0,0,0,0
23,0,3.9,0,0,1,0,0
26,1,3.7,0,1,0,0,0
24,1,3.8,0,0,0,1,0
23,1,3.6,1,0,0,0,0
26,1,3.9,0,0,1,0,0
24,1,3.9,0,1,0,0,0
25,0,3.7,1,0,0,0,0
23,1,3.8,0,0,0,0,1
26,1,3.9,0,1,0,0,0
24,1,3.8,0,0,0,1,0
23,1,3.7,1,0,0,0,0
26,0,3.6,0,0,0,0,1
24,1,3.7,1,0,0,0,0
23,1,3.8,0,0,1,0,0
26,1,3.7,0,1,0,0,0
24,1,3.5,0,0,0,1,0
23,0,3.9,1,0,0,0,0
26,1,3.7,0,0,1,0,0
24,1,3.8,0,1,0,0,0
25,1,3.6,1,0,0,0,0
23,1,3.9,0,0,0,0,1
26,1,3.9,0,1,0,0,0
24,0,3.7,0,0,0,1,0
23,1,3.8,1,0,0,0,0
26,1,3.9,0,0,0,0,1
24,1,3.8,1,0,0,0,0
23,1,3.7,0,0,1,0,0
26,0,3.6,0,1,0,0,0
24,1,3.7,0,0,0,1,0
23,1,3.8,1,0,0,0,0
26,1,3.7,0,0,1,0,0
24,1,3.5,0,1,0,0,0
25,0,3.9,1,0,0,0,0
23,1,3.7,0,0,0,0,1
26,1,3.8,0,1,0,0,0
24,1,3.6,0,0,0,1,0
23,1,3.9,1,0,0,0,0
26,1,3.9,0,0,0,0,1
24,1,3.8,1,0,0,0,0
23,1,3.7,0,0,1,0,0
26,1,3.8,0,1,0,0,0
24,1,3.7,0,0,0,1,0
23,0,3.6,1,0,0,0,0
26,1,3.7,0,0,1,0,0
24,1,3.8,0,1,0,0,0
25,1,3.7,1,0,0,0,0
23,1,3.5,0,0,0,0,1
26,0,3.9,0,1,0,0,0
24,1,3.7,0,0,0,1,0
23,1,3.8,1,0,0,0,0
26,1,3.6,0,0,0,0,1
24,1,3.9,1,0,0,0,0
23,1,3.9,0,0,1,0,0
26,0,3.7,0,1,0,0,0
24,1,3.8,0,0,0,1,0
23,1,3.9,1,0,0,0,0
26,1,3.8,0,0,1,0,0
24,1,3.7,0,1,0,0,0
25,0,3.6,1,0,0,0,0
23,1,3.7,0,0,0,0,1
26,1,3.8,0,1,0,0,0
24,1,3.7,0,0,0,1,0
23,0,3.9,1,0,0,0,0
26,1,3.7,0,0,0,0,1
24,1,3.8,1,0,0,0,0
23,1,3.6,0,0,1,0,0
26,1,3.9,0,1,0,0,0
24,1,3.9,0,0,0,1,0
23,0,3.7,1,0,0,0,0
26,1,3.8,0,0,1,0,0
24,1,3.9,0,1,0,0,0
25,1,3.8,1,0,0,0,0
23,1,3.7,0,0,0,0,1
26,0,3.6,0,1,0,0,0
24,1,3.7,0,0,0,1,0
23,1,3.8,1,0,0,0,0
26,1,3.7,0,0,0,0,1
24,1,3.5,1,0,0,0,0
23,0,3.9,0,0,1,0,0
26,1,3.7,0,1,0,0,0
24,1,3.8,0,0,0,1,0
23,1,3.6,1,0,0,0,0
26,1,3.9,0,0,1,0,0
24,1,3.9,0,1,0,0,0
25,0,3.7,1,0,0,0,0
23,1,3.8,0,0,0,0,1
26,1,3.9,0,1,0,0,0
24,1,3.8,0,0,0,1,0
23,1,3.7,1,0,0,0,0
26,0,3.6,0,0,0,0,1
24,1,3.7,1,0,0,0,0
23,1,3.8,0,0,1,0,0
26,1,3.7,0,1,0,0,0
24,1,3.5,0,0,0,1,0
23,0,3.9,1,0,0,0,0
26,1,3.7,0,0,1,0,0
24,1,3.8,0,1,0,0,0
25,1,3.6,1,0,0,0,0
23,1,3.9,0,0,0,0,1
26,1,3.9,0,1,0,0,0
24,0,3.7,0,0,0,1,0
23,1,3.8,1,0,0,0,0
26,1,3.9,0,0,0,0,1
24,1,3.8,1,0,0,0,0
23,1,3.7,0,0,1,0,0
26,0,3.6,0,1,0,0,0
24,1,3.7,0,0,0,1,0
23,1,3.8,1,0,0,0,0
26,1,3.7,0,0,1,0,0
24,1,3.5,0,1,0,0,0
25,0,3.9,1,0,0,0,0
23,1,3.7,0,0,0,0,1
26,1,3.8,0,1,0,0,0
24,1,3.6,0,0,0,1,0
23,1,3.9,1,0,0,0,0
26,1,3.9,0,0,0,0,1
24,1,3.8,1,0,0,0,0
23,1,3.7,0,0,1,0,0
26,1,3.8,0,1,0,0,0
24,1,3.7,0,0,0,1,0
23,0,3.6,1,0,0,0,0
26,1,3.7,0,0,1,0,0
24,1,3.8,0,1,0,0,0
25,1,3.7,1,0,0,0,0
23,1,3.5,0,0,0,0,1
26,0,3.9,0,1,0,0,0
24,1,3.7,0,0,0,1,0
23,1,3.8,1,0,0,0,0
26,1,3.6,0,0,0,0,1
24,1,3.9,1,0,0,0,0
23,1,3.9,0,0,1,0,0
26,0,3.7,0,1,0,0,0
24,1,3.8,0,0,0,1,0
23,1,3.9,1,0,0,0,0
26,1,3.8,0,0,1,0,0
26,1,3.7,0,0,0,0,1
24,0,3.6,1,0,0,0,0
23,1,3.7,0,0,1,0,0
26,1,3.8,0,1,0,0,0
24,1,3.7,0,0,0,1,0
23,1,3.5,1,0,0,0,0
26,0,3.9,0,0,1,0,0
24,1,3.7,0,1,0,0,0
25,1,3.8,1,0,0,0,0
23,1,3.6,0,0,0,0,1
26,1,3.9,0,1,0,0,0
24,1,3.9,0,0,0,1,0
23,0,3.7,1,0,0,0,0
26,1,3.8,0,0,0,0,1
24,1,3.9,1,0,0,0,0
23,1,3.8,0,0,1,0,0
26,1,3.7,0,1,0,0,0
24,0,3.6,0,0,0,1,0
23,1,3.7,1,0,0,0,0
26,1,3.8,0,0,1,0,0
24,1,3.7,0,1,0,0,0
25,1,3.5,1,0,0,0,0
23,0,3.9,0,0,0,0,1
26,1,3.7,0,1,0,0,0
24,1,3.8,0,0,0,1,0
23,1,3.6,1,0,0,0,0
26,1,3.9,0,0,0,0,1
24,1,3.9,1,0,0,0,0
23,0,3.7,0,0,1,0,0
26,1,3.8,0,1,0,0,0
24,1,3.9,0,0,0,1,0
23,1,3.8,1,0,0,0,0
26,1,3.7,0,0,1,0,0
24,0,3.6,0,1,0,0,0
25,1,3.7,1,0,0,0,0
23,1,3.8,0,0,0,0,1
26,1,3.7,0,1,0,0,0
24,1,3.5,0,0,0,1,0
23,0,3.9,1,0,0,0,0
26,1,3.7,0,0,0,0,1
24,1,3.8,1,0,0,0,0
23,1,3.6,0,0,1,0,0
26,1,3.9,0,1,0,0,0
24,1,3.9,0,0,0,1,0
23,0,3.7,1,0,0,0,0
26,1,3.8,0,0,1,0,0
24,1,3.9,0,1,0,0,0
25,1,3.8,1,0,0,0,0
23,1,3.7,0,0,0,0,1
26,0,3.6,0,1,0,0,0
24,1,3.7,0,0,0,1,0
23,1,3.8,1,0,0,0,0
26,1,3.7,0,0,0,0,1
24,1,3.5,1,0,0,0,0
23,0,3.9,0,0,1,0,0
26,1,3.7,0,1,0,0,0
24,1,3.8,0,0,0,1,0
23,1,3.6,1,0,0,0,0
26,1,3.9,0,0,1,0,0
24,1,3.9,0,1,0,0,0
25,0,3.7,1,0,0,0,0
23,1,3.8,0,0,0,0,1
26,1,3.9,0,1,0,0,0
24,1,3.8,0,0,0,1,0
23,1,3.7,1,0,0,0,0
26,0,3.6,0,0,0,0,1
24,1,3.7,1,0,0,0,0
23,1,3.8,0,0,1,0,0
26,1,3.7,0,1,0,0,0
24,1,3.5,0,0,0,1,0
23,0,3.9,1,0,0,0,0
26,1,3.7,0,0,1,0,0
24,1,3.8,0,1,0,0,0
25,1,3.6,1,0,0,0,0
23,1,3.9,0,0,0,0,1
26,1,3.9,0,1,0,0,0
24,0,3.7,0,0,0,1,0
23,1,3.8,1,0,0,0,0
26,1,3.9,0,0,0,0,1
24,1,3.8,1,0,0,0,0
23,1,3.7,0,0,1,0,0
26,0,3.6,0,1,0,0,0
